letter,guessed_letter,repetitions_requested
M,M,3
C,S,1
I,I,2
I,I,1
H,H,1
S,S,1
F,F,1
S,S,1
H,H,1
M,M,1
S,S,1
H,H,2
S,S,1
C,C,1
M,M,1
F,F,1
I,I,1
S,S,1
I,C,1
M,M,1
M,M,1
