letter,guessed_letter,repetitions_requested
U,Y,2
S,M,7
C,C,3
I,I,1
F,F,1
H,H,1
I,I,1
M,M,3
F,K,3
S,S,1
U,C,1
F,F,1
S,S,2
F,K,1
S,S,1
C,C,2
H,H,1
C,C,1
S,S,1
U,U,4
F,F,1
