letter,guessed_letter,repetitions_requested
S,S,1
F,N,1
F,K,1
C,C,3
M,M,2
I,I,1
F,A,2
C,C,1
H,H,1
C,C,1
U,O,1
M,R,3
M,M,1
C,C,1
H,H,1
S,S,1
F,A,1
F,A,1
C,C,1
H,H,1
C,C,1
