letter,guessed_letter,repetitions_requested
U,U,2
C,C,2
U,O,1
S,S,2
F,H,1
F,H,1
H,H,2
C,C,2
F,H,1
S,S,1
F,H,1
M,K,4
H,H,2
H,H,1
C,C,1
S,S,1
I,I,2
I,I,1
F,F,2
M,M,1
F,K,2
